time,x,y,z
8.175,-0.9114032766,-1.5728065533,1
8.176,-0.9111445347,-1.5722890693,1
8.177,-0.910885433,-1.5717708659,1
8.178,-0.9106259717,-1.5712519433,1
8.179,-0.9103661509,-1.5707323018,1
8.18,-0.9101059707,-1.5702119414,1
8.181,-0.9098454312,-1.5696908624,1
8.182,-0.9095845325,-1.569169065,1
8.183,-0.9093232747,-1.5686465495,1
8.184,-0.909061658,-1.568123316,1
8.185,-0.9087996824,-1.5675993647,1
8.186,-0.9085373479,-1.5670746959,1
8.187,-0.9082746548,-1.5665493097,1
8.188,-0.9080116032,-1.5660232064,1
8.189,-0.907748193,-1.5654963861,1
8.19,-0.9074844245,-1.5649688491,1
8.191,-0.9072202978,-1.5644405956,1
8.192,-0.9069558129,-1.5639116257,1
8.193,-0.9066909699,-1.5633819398,1
8.194,-0.906425769,-1.562851538,1
8.195,-0.9061602102,-1.5623204204,1
8.196,-0.9058942937,-1.5617885875,1
8.197,-0.9056280196,-1.5612560392,1
8.198,-0.9053613879,-1.5607227759,1
8.199,-0.9050943989,-1.5601887977,1
8.2,-0.9048270525,-1.5596541049,1
8.201,-0.9045593489,-1.5591186977,1
8.202,-0.9042912881,-1.5585825763,1
8.203,-0.9040228704,-1.5580457409,1
8.204,-0.9037540958,-1.5575081917,1
8.205,-0.9034849644,-1.5569699289,1
8.206,-0.9032154764,-1.5564309527,1
8.207,-0.9029456317,-1.5558912634,1
8.208,-0.9026754306,-1.5553508612,1
8.209,-0.9024048731,-1.5548097462,1
8.21,-0.9021339594,-1.5542679187,1
8.211,-0.9018626895,-1.553725379,1
8.212,-0.9015910636,-1.5531821271,1
8.213,-0.9013190817,-1.5526381634,1
8.214,-0.901046744,-1.552093488,1
8.215,-0.9007740506,-1.5515481012,1
8.216,-0.9005010016,-1.5510020032,1
8.217,-0.9002275971,-1.5504551941,1
8.218,-0.8999538372,-1.5499076743,1
8.219,-0.8996797219,-1.5493594439,1
8.22,-0.8994052516,-1.5488105031,1
8.221,-0.8991304261,-1.5482608522,1
8.222,-0.8988552457,-1.5477104914,1
8.223,-0.8985797104,-1.5471594209,1
8.224,-0.8983038204,-1.5466076408,1
8.225,-0.8980275758,-1.5460551515,1
8.226,-0.8977509766,-1.5455019532,1
8.227,-0.897474023,-1.544948046,1
8.228,-0.8971967151,-1.5443934302,1
8.229,-0.896919053,-1.543838106,1
8.23,-0.8966410368,-1.5432820736,1
8.231,-0.8963626666,-1.5427253332,1
8.232,-0.8960839426,-1.5421678851,1
